번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","헤어질 결심 각본","정서경,박찬욱 지음","을유문화사","2022","9788932474755","","0","","812.66","1","0","2023-03-10",
"2","화이트 러시","히가시노 게이고 지음;민경욱 옮김","㈜소미미디어","2023","9791138415477","","0","","833.6","1","1","2023-03-10",
"3","크리스마스 타일","김금희 지음","창비","2022","9788936438890","","0","","813.6","1","1","2023-03-10",
"4","체셔 크로싱","앤디 위어 글;사라 앤더슨 그림;황석희 옮김","알에이치코리아(RHK)","2022","9788925577319","","0","","843.6","1","0","2023-03-10",
"5","자발적 방관육아","최은아 지음","쌤앤파커스","2023","9791165346805","","0","","598.1","1","1","2023-03-10",
"6","이과형의 만만한 과학책","이과형 지음","토네이도미디어그룹","2023","9791158512569","","0","","404","1","1","2023-03-10",
"7","적당히 느슨하게 조금씩 행복해지는 습관","바쿠@정신과의 지음;김윤경 옮김","부키","2023","9788960519657","","0","","189.1","1","1","2023-03-10",
"8","이토록 평범한 미래","김연수 지음","문학동네","2022","9788954680004","","0","","813.6","1","1","2023-03-10",
"9","천 원을 경영하라","박정부 지음","쌤앤파커스","2022","9791165346485","","0","","325.211","1","1","2023-03-10",
"10","작은 땅의 야수들","김주혜 지음;박소현 옮김","다산북스","2022","9791130693927","","0","","843.6","1","0","2023-03-10",
"11","조용한 퇴사","이호건 지음","월요일의꿈","2023","9791192044217","","0","","325.2","1","0","2023-03-10",
"12","음식을 공부합니다","주영하 지음","휴머니스트","2021","9791160807332","","0","","381.75","1","1","2023-03-10",
"13","원청","위화 지음;문현선 옮김","푸른숲","2022","9791156751298","","0","","823.7","1","1","2023-03-10",
"14","위로의 미술관","진병관 지음","빅피시","2022","9791191825145","","0","","650.4","1","1","2023-03-10",
"15","우리, 편하게 말해요","이금희 지음","웅진씽크빅","2022","9788901264776","","0","","802.56","1","2","2023-03-10",
"16","오직 딱 한 해만, 다정한 이기주의자","베레나 카를,안네 오토 지음;강민경 옮김","앵글북스","2023","9791187512790","","0","","189.1","1","1","2023-03-10",
"17","열 번 잘해도 한 번 실수로 무너지는 게 관계다","김다슬 지음","클라우디아","2023","9791196617141","","1","","818","1","1","2023-03-10",
"18","은유의 글쓰기 상담소","은유 지음","김영사","2023","9788934942948","","0","","802","1","1","2023-03-10",
"19","열린 어둠","렌조 미키히코 지음;양윤옥 옮김","바이포엠 스튜디오","2022","9791192579313","","0","","833.6","1","1","2023-03-10",
"20","여기 어디예요?","이예찬 지음","영진미디어","2023","9791191059366","","1","","981.102","1","0","2023-03-10",
"21","염증 해방","정세연 지음","다산북스","2022","9791130694801","","0","","511.843","1","2","2023-03-10",
"22","아버지의 해방일지","정지아 지음","창비","2022","9788936438838","","0","","813.7","1","2","2023-03-10",
"23","안젤리크","기욤 뮈소 지음;양영란 옮김","밝은세상","2022","9788984374546","","0","","863","1","2","2023-03-10",
"24","어른이 되기 전에 꼭 한 번은 논어를 읽어라","판덩 지음;하은지 옮김","미디어숲","2023","9791158741785","","4","1","148.3","1","1","2023-03-10",
"25","어머니, 사교육을 줄이셔야 합니다","정승익 지음","메이트북스","2023","9791160023909","","0","","598.6","1","1","2023-03-10",
"26","아주 작은 시작의 힘","박민선 지음","빅피시","2023","9791191825701","","0","","325.211","1","1","2023-03-10",
"27","엄마의 말 연습","윤지영 지음","카시오페아(카시오페아 출판사)","2022","9791168270749","","0","","598.1","1","2","2023-03-10",
"28","아이와 통하는 아빠의 말","김범준 지음;신예희 일러스트","비전비엔피","2023","9791192641027","","1","","598.1","1","1","2023-03-10",
"29","사라진 소녀들의 숲","허주은 지음;유혜인 옮김","M창비(미디어창비)","2023","9791191248913","","0","","843","1","2","2023-03-10",
"30","사람을 얻는 지혜","발타자르 그라시안 지음;김유경 옮김","현대지성","2022","9791139708967","","0","","199.1","1","1","2023-03-10",
"31","(세상에서 가장 쉬운) 본질육아","지나영 지음","21세기북스(북이십일 21세기북스)","2022","9788950941819","","1","","598.1","1","2","2023-03-10",
